,TXNAME,GENENAME
61606,ENSMUST00000148796.1,Mbd5
61607,ENSMUST00000148797.1,Rhbdl2
61608,ENSMUST00000148798.1,Nat10
61609,ENSMUST00000148799.1,Lims1
61610,ENSMUST00000148800.1,Sorl1
61611,ENSMUST00000148801.1,Gm13827
61612,ENSMUST00000148802.1,Cand1
61613,ENSMUST00000148803.7,Rfx5
61614,ENSMUST00000148805.1,Nbr1
61615,ENSMUST00000148806.1,Wdr17
61616,ENSMUST00000148807.8,Tmem134
61617,ENSMUST00000148808.1,Asb3
61618,ENSMUST00000148809.1,Ddx18
61619,ENSMUST00000148810.7,Fam129a
61620,ENSMUST00000148811.1,Ttc39b
61621,ENSMUST00000148812.1,Kazn
61622,ENSMUST00000148814.7,Bzrap1
61623,ENSMUST00000148815.1,Inpp5f
61624,ENSMUST00000148816.7,Adgb
61625,ENSMUST00000148817.1,Fbxo4
61626,ENSMUST00000148818.1,Pfkl
61627,ENSMUST00000148819.1,Osgin2
61628,ENSMUST00000148820.1,Dnase1l2
61629,ENSMUST00000148821.1,Lipn
61630,ENSMUST00000148822.1,Adipor1
61631,ENSMUST00000148823.2,Tmcc3
61632,ENSMUST00000148824.1,Ifi27
61633,ENSMUST00000148825.1,Syne2
61634,ENSMUST00000148826.7,AW822252
61635,ENSMUST00000148827.7,Pld1
61636,ENSMUST00000148828.1,Pafah1b3
61637,ENSMUST00000148829.1,Slc26a2
61638,ENSMUST00000148830.1,Lphn3
61639,ENSMUST00000148831.2,Abhd11
61640,ENSMUST00000148832.7,1700057H15Rik
61641,ENSMUST00000148833.7,Gpcpd1
61642,ENSMUST00000148834.7,Agbl3
61643,ENSMUST00000148835.2,Iffo1
61644,ENSMUST00000148836.7,Cdh13
61645,ENSMUST00000148837.1,Cacnb4
61646,ENSMUST00000148839.7,Hmg20b
61647,ENSMUST00000148840.1,Ccdc64
61648,ENSMUST00000148841.1,Otud5
61649,ENSMUST00000148842.7,Ssbp3
61650,ENSMUST00000148843.9,Hnrnpr
61651,ENSMUST00000148844.1,Gm12523
61652,ENSMUST00000148845.1,Fbxw5
61653,ENSMUST00000148846.7,Med12
61654,ENSMUST00000148847.1,Uckl1os
61655,ENSMUST00000148848.1,Pdxdc1
61656,ENSMUST00000148849.1,Ccdc137
61657,ENSMUST00000148850.7,Arhgap26
61658,ENSMUST00000148851.1,Zfp105
61659,ENSMUST00000148852.3,Lhx6
61660,ENSMUST00000148853.1,Spdl1
61661,ENSMUST00000148854.1,Adamtsl4
61662,ENSMUST00000148855.1,Kynu
61663,ENSMUST00000148856.1,Slc18a1
61664,ENSMUST00000148857.7,Cdc14a
61665,ENSMUST00000148858.1,Alkbh6
61666,ENSMUST00000148859.1,Entpd2
61667,ENSMUST00000148860.1,Rptor
61668,ENSMUST00000148861.7,Sympk
61669,ENSMUST00000148862.1,Itih5l-ps
61670,ENSMUST00000148863.1,Pafah2
61671,ENSMUST00000148864.1,Col1a2
61672,ENSMUST00000148866.1,Vav3
61673,ENSMUST00000148867.7,BC030867
61674,ENSMUST00000148868.1,Mpped1
61675,ENSMUST00000148869.7,Rnf38
61676,ENSMUST00000148870.1,Acss2
61677,ENSMUST00000148871.1,Ptpn11
61678,ENSMUST00000148872.1,Pex6
61679,ENSMUST00000148873.7,Armc10
61680,ENSMUST00000148874.2,Tpra1
61681,ENSMUST00000148875.1,Bola3
61682,ENSMUST00000148876.7,Mettl8
61683,ENSMUST00000148877.1,Knstrn
61684,ENSMUST00000148878.8,0610010K14Rik
61685,ENSMUST00000148879.7,Mcm7
61686,ENSMUST00000148880.1,Rbbp6
61687,ENSMUST00000148881.7,Scamp3
61688,ENSMUST00000148882.1,Dnase1l1
61689,ENSMUST00000148883.1,Odf2
61690,ENSMUST00000148884.1,Blzf1
61691,ENSMUST00000148885.7,2610307P16Rik
61692,ENSMUST00000148886.1,Ap3m1
61693,ENSMUST00000148887.1,Tbc1d9b
61694,ENSMUST00000148888.1,Rsad1
61695,ENSMUST00000148889.1,Gtf2a2
61696,ENSMUST00000148891.7,Phactr1
61697,ENSMUST00000148892.1,BB031773
61698,ENSMUST00000148893.1,Sh3bp1
61699,ENSMUST00000148894.1,Luc7l
61700,ENSMUST00000148895.8,Psmd11
61701,ENSMUST00000148896.7,Syt8
61702,ENSMUST00000148897.7,Glipr1l2
61703,ENSMUST00000148898.1,1810013D15Rik
61704,ENSMUST00000148899.7,Chpt1
61705,ENSMUST00000148900.7,Rsrp1
61706,ENSMUST00000148901.1,Synrg
61707,ENSMUST00000148902.7,Arap1
61708,ENSMUST00000148903.1,Met
61709,ENSMUST00000148904.7,Cep57
61710,ENSMUST00000148905.7,Nkain4
61711,ENSMUST00000148906.7,Rasgrp2
61712,ENSMUST00000148907.1,Tmem61
61713,ENSMUST00000148908.1,Arfgap1
61714,ENSMUST00000148909.1,Gpn2
61715,ENSMUST00000148910.2,Tmcc3
61716,ENSMUST00000148911.1,Atp10b
61717,ENSMUST00000148912.1,Pltp
61718,ENSMUST00000148913.1,Arpc3
61719,ENSMUST00000148914.1,Hmces
61720,ENSMUST00000148916.1,Gm13830
61721,ENSMUST00000148917.1,Gls
61722,ENSMUST00000148918.1,Kif2c
61723,ENSMUST00000148920.7,S100pbp
61724,ENSMUST00000148921.1,Pus7
61725,ENSMUST00000148923.1,Lphn3
61726,ENSMUST00000148924.7,4930402H24Rik
61727,ENSMUST00000148925.1,Cadm1
61728,ENSMUST00000148926.1,Dusp16
61729,ENSMUST00000148927.1,Usp34
61730,ENSMUST00000148928.1,Gm5475
61731,ENSMUST00000148929.1,Phldb1
61732,ENSMUST00000148930.2,Nfia
61733,ENSMUST00000148931.2,Gm16764
61734,ENSMUST00000148932.1,4930402H24Rik
61735,ENSMUST00000148933.7,Shkbp1
61736,ENSMUST00000148934.7,Pank4
61737,ENSMUST00000148935.7,AU040320
61738,ENSMUST00000148936.1,Mtch2
61739,ENSMUST00000148937.1,Rnmt
61740,ENSMUST00000148938.1,Mcts1
61741,ENSMUST00000148939.7,Inpp5j
61742,ENSMUST00000148940.1,Mup2
61743,ENSMUST00000148941.1,Arid4b
61744,ENSMUST00000148942.7,Ipo4
61745,ENSMUST00000148943.1,Ptges3
61746,ENSMUST00000148944.1,Dph1
61747,ENSMUST00000148945.7,Zfp652
61748,ENSMUST00000148946.7,Fcgbp
61749,ENSMUST00000148947.1,Erp44
61750,ENSMUST00000148948.7,Notch1
61751,ENSMUST00000148949.7,Ctps2
61752,ENSMUST00000148950.1,Tmem171
61753,ENSMUST00000148951.7,Ttyh1
61754,ENSMUST00000148952.7,Klhl20
61755,ENSMUST00000148953.7,Htt
61756,ENSMUST00000148954.7,Grip1
61757,ENSMUST00000148955.2,Hdhd2
61758,ENSMUST00000148956.7,Epn2
61759,ENSMUST00000148957.1,Whrn
61760,ENSMUST00000148959.1,Prune
61761,ENSMUST00000148960.7,Myl12a
61762,ENSMUST00000148961.7,Eif2s3y
61763,ENSMUST00000148962.1,Mgat1
61764,ENSMUST00000148963.7,Megf11
61765,ENSMUST00000148964.1,P2rx1
61766,ENSMUST00000148965.1,Snhg11
61767,ENSMUST00000148966.1,Mpv17l
61768,ENSMUST00000148968.7,Tmem29
61769,ENSMUST00000148969.7,Nup188
61770,ENSMUST00000148970.1,Bnip3
61771,ENSMUST00000148971.1,Ilk
61772,ENSMUST00000148972.1,Gm15635
61773,ENSMUST00000148973.7,Capns1
61774,ENSMUST00000148974.1,Gm16250
61775,ENSMUST00000148975.2,Rassf7
61776,ENSMUST00000148976.1,Dnaja1
61777,ENSMUST00000148977.7,4930417H01Rik
61778,ENSMUST00000148978.7,Fkbp1a
61779,ENSMUST00000148979.1,Tmem54
61780,ENSMUST00000148980.1,Tmem198
61781,ENSMUST00000148981.2,Gm11342
61782,ENSMUST00000148982.1,Nfib
61783,ENSMUST00000148983.1,Gle1
61784,ENSMUST00000148984.1,Abca5
61785,ENSMUST00000148985.1,Efcab5
61786,ENSMUST00000148986.7,Haghl
61787,ENSMUST00000148987.7,Dbr1
61788,ENSMUST00000148988.1,Slc20a1
61789,ENSMUST00000148989.2,Tnfaip8
61790,ENSMUST00000148990.7,Nrf1
61791,ENSMUST00000148991.1,Gpd2
61792,ENSMUST00000148993.4,Kit
61793,ENSMUST00000148994.2,Scfd2
61794,ENSMUST00000148995.7,Slc25a36
61795,ENSMUST00000148996.1,Prmt3
61796,ENSMUST00000148997.7,AI847159
61797,ENSMUST00000148998.1,Usp36
61798,ENSMUST00000148999.7,Pfkp
61799,ENSMUST00000149000.1,Gm16347
61800,ENSMUST00000149001.1,Dpy19l1
61801,ENSMUST00000149002.1,Epha2
61802,ENSMUST00000149003.1,Rsrp1
61803,ENSMUST00000149004.1,C330027C09Rik
61804,ENSMUST00000149006.1,Ramp2
61805,ENSMUST00000149007.1,Gpr149
61806,ENSMUST00000149008.1,Lgr5
61807,ENSMUST00000149009.7,Cald1
61808,ENSMUST00000149010.1,Sec16a
61809,ENSMUST00000149011.8,Zfp473
61810,ENSMUST00000149012.7,Cwc22
61811,ENSMUST00000149014.1,Gm13262
61812,ENSMUST00000149015.7,Nsmaf
61813,ENSMUST00000149016.8,Gnas
61814,ENSMUST00000149017.2,Pld1
61815,ENSMUST00000149018.1,Aurkb
61816,ENSMUST00000149019.1,Nbr1
61817,ENSMUST00000149020.2,Ift46
61818,ENSMUST00000149021.2,Usp9x
61819,ENSMUST00000149022.7,Macf1
61820,ENSMUST00000149023.1,Eva1a
61821,ENSMUST00000149024.1,Snx10
61822,ENSMUST00000149025.1,Gm13881
61823,ENSMUST00000149026.4,Tprkb
61824,ENSMUST00000149027.7,Dynlt1c
61825,ENSMUST00000149028.1,Mctp1
61826,ENSMUST00000149029.7,Plekha1
61827,ENSMUST00000149030.7,Epha7
61828,ENSMUST00000149031.1,Alg8
61829,ENSMUST00000149032.1,Myo5a
61830,ENSMUST00000149033.1,Cdk5rap3
61831,ENSMUST00000149034.7,Slc39a11
61832,ENSMUST00000149035.7,Gnb1l
61833,ENSMUST00000149036.7,Zfyve19
61834,ENSMUST00000149037.7,Agbl2
61835,ENSMUST00000149038.2,Sptan1
61836,ENSMUST00000149039.1,Bdh1
61837,ENSMUST00000149040.1,Mrpl14
61838,ENSMUST00000149041.7,Exosc9
61839,ENSMUST00000149042.7,Palld
61840,ENSMUST00000149043.2,Snrnp25
61841,ENSMUST00000149045.7,Spc25
61842,ENSMUST00000149046.3,Rtl1
61843,ENSMUST00000149047.7,Dnajc6
61844,ENSMUST00000149048.2,Gm15865
61845,ENSMUST00000149049.1,Trim7
61846,ENSMUST00000149050.1,Wdr83
61847,ENSMUST00000149051.7,Arnt
61848,ENSMUST00000149053.7,Neil3
61849,ENSMUST00000149054.7,A830080D01Rik
61850,ENSMUST00000149055.7,Taz
61851,ENSMUST00000149056.7,Ccp110
61852,ENSMUST00000149057.1,Dpep2
61853,ENSMUST00000149058.7,Zfp280c
61854,ENSMUST00000149059.1,Grin3a
61855,ENSMUST00000149060.1,Alox12e
61856,ENSMUST00000149061.2,Trim28
61857,ENSMUST00000149062.7,C8g
61858,ENSMUST00000149063.1,Ftsj1
61859,ENSMUST00000149064.8,Lclat1
61860,ENSMUST00000149065.1,Gm16079
61861,ENSMUST00000149067.1,Itpkc
61862,ENSMUST00000149068.1,Lmna
61863,ENSMUST00000149069.1,Nbn
61864,ENSMUST00000149070.1,Gm12300
61865,ENSMUST00000149071.1,Gar1
61866,ENSMUST00000149073.7,Accs
61867,ENSMUST00000149074.7,1810043G02Rik
61868,ENSMUST00000149075.1,Ccne2
61869,ENSMUST00000149076.7,Nt5m
61870,ENSMUST00000149077.1,Ccdc50
61871,ENSMUST00000149078.1,Gm12676
61872,ENSMUST00000149079.1,Myo7a
61873,ENSMUST00000149080.1,Aim1l
61874,ENSMUST00000149081.7,Pde7a
61875,ENSMUST00000149082.7,Yipf6
61876,ENSMUST00000149083.7,Ift122
61877,ENSMUST00000149084.1,Bach2os
61878,ENSMUST00000149085.7,Fastk
61879,ENSMUST00000149086.1,Nphs1
61880,ENSMUST00000149087.7,Hdac5
61881,ENSMUST00000149088.1,Zfp217
61882,ENSMUST00000149089.1,Nbeal2
61883,ENSMUST00000149091.1,Chuk
61884,ENSMUST00000149093.1,Ikbkb
61885,ENSMUST00000149094.7,Exosc2
61886,ENSMUST00000149095.1,Gm15485
61887,ENSMUST00000149096.1,Ntng2
61888,ENSMUST00000149097.1,Sema5b
61889,ENSMUST00000149098.7,Kantr
61890,ENSMUST00000149099.7,Etv4
61891,ENSMUST00000149100.2,Rerg
61892,ENSMUST00000149101.2,Dpyd
61893,ENSMUST00000149103.1,Glrx2
61894,ENSMUST00000149105.1,Tmem161a
61895,ENSMUST00000149106.7,Scp2
61896,ENSMUST00000149107.7,Sgms1
61897,ENSMUST00000149108.1,Wbscr22
61898,ENSMUST00000149109.7,Epb4.1l4b
61899,ENSMUST00000149110.2,Tmem44
61900,ENSMUST00000149111.7,Nfe2
61901,ENSMUST00000149112.1,Arhgap26
61902,ENSMUST00000149114.1,Robo2
61903,ENSMUST00000149115.1,Tpm3
61904,ENSMUST00000149116.1,Itgb1
61905,ENSMUST00000149117.1,Sptbn1
61906,ENSMUST00000149118.1,Chchd5
61907,ENSMUST00000149119.7,Eif2d
61908,ENSMUST00000149121.7,BC051142
61909,ENSMUST00000149122.1,Ndufc2
61910,ENSMUST00000149123.2,Tmem168
61911,ENSMUST00000149124.1,Ppp1r3fos
61912,ENSMUST00000149125.1,Actc1
61913,ENSMUST00000149126.1,Nlrp3
61914,ENSMUST00000149127.1,Abca1
61915,ENSMUST00000149128.2,Gm28039
61916,ENSMUST00000149129.2,Plod1
61917,ENSMUST00000149130.1,Renbp
61918,ENSMUST00000149131.1,Bpgm
61919,ENSMUST00000149132.1,2610020H08Rik
61920,ENSMUST00000149133.7,Pax6os1
61921,ENSMUST00000149134.1,Inpp5k
61922,ENSMUST00000149135.1,Arhgap4
61923,ENSMUST00000149136.1,4933434M16Rik
61924,ENSMUST00000149137.2,Gm13270
61925,ENSMUST00000149138.1,3110043O21Rik
61926,ENSMUST00000149139.1,Spag4
61927,ENSMUST00000149140.7,Wnk3
61928,ENSMUST00000149141.1,Golga2
61929,ENSMUST00000149142.1,Col7a1
61930,ENSMUST00000149143.7,Rpl27a
61931,ENSMUST00000149144.7,Zfand5
61932,ENSMUST00000149145.1,Sema4a
61933,ENSMUST00000149146.1,Epha10
61934,ENSMUST00000149147.7,Rnf157
61935,ENSMUST00000149148.7,Grin3b
61936,ENSMUST00000149149.7,Amn1
61937,ENSMUST00000149150.1,Itga9
61938,ENSMUST00000149151.1,Prkrip1
61939,ENSMUST00000149152.7,Svep1
61940,ENSMUST00000149154.7,Pcdh19
61941,ENSMUST00000149155.1,Cand1
61942,ENSMUST00000149156.1,A930041C12Rik
61943,ENSMUST00000149157.2,Tbc1d14
61944,ENSMUST00000149158.7,Olfm3
61945,ENSMUST00000149159.2,Xbp1
61946,ENSMUST00000149160.7,Ccnl1
61947,ENSMUST00000149161.1,Unc119
61948,ENSMUST00000149162.1,Dennd2a
61949,ENSMUST00000149163.7,Tpd52l2
61950,ENSMUST00000149164.1,Anpep
61951,ENSMUST00000149165.1,D430041D05Rik
61952,ENSMUST00000149166.7,Slc11a1
61953,ENSMUST00000149167.1,Smim14
61954,ENSMUST00000149168.1,Slc6a9
61955,ENSMUST00000149169.2,Katnal1
61956,ENSMUST00000149170.1,Nbr1
61957,ENSMUST00000149171.7,Rpl10
61958,ENSMUST00000149172.1,A930006K02Rik
61959,ENSMUST00000149174.2,Smc4
61960,ENSMUST00000149175.1,Caprin1
61961,ENSMUST00000149176.1,Crtc3
61962,ENSMUST00000149177.1,Ajap1
61963,ENSMUST00000149178.7,Necap2
61964,ENSMUST00000149179.8,Col20a1
61965,ENSMUST00000149180.1,Smox
61966,ENSMUST00000149181.7,Mettl8
61967,ENSMUST00000149182.1,Slc22a29
61968,ENSMUST00000149183.7,Fyttd1
61969,ENSMUST00000149184.1,Ciz1
61970,ENSMUST00000149185.7,Nxpe2
61971,ENSMUST00000149187.7,Usp21
61972,ENSMUST00000149188.7,Dmpk
61973,ENSMUST00000149189.1,Hsp90aa1
61974,ENSMUST00000149191.1,Atp5e
61975,ENSMUST00000149193.7,Grb14
61976,ENSMUST00000149194.7,Ybx2
61977,ENSMUST00000149195.7,Esr1
61978,ENSMUST00000149196.1,Fnbp1
61979,ENSMUST00000149197.7,St3gal6
61980,ENSMUST00000149200.7,Tarbp2
61981,ENSMUST00000149201.7,Bach2
61982,ENSMUST00000149202.1,Car14
61983,ENSMUST00000149203.1,Ppfibp1
61984,ENSMUST00000149204.2,Nars2
61985,ENSMUST00000149205.1,Rasgrp2
61986,ENSMUST00000149206.1,Gm14866
61987,ENSMUST00000149207.1,Col6a4
61988,ENSMUST00000149208.1,Pus1
61989,ENSMUST00000149210.1,Zfp106
61990,ENSMUST00000149211.7,Npc1
61991,ENSMUST00000149212.1,Socs7
61992,ENSMUST00000149214.2,Cspp1
61993,ENSMUST00000149215.1,Zfp286
61994,ENSMUST00000149216.1,C530008M17Rik
61995,ENSMUST00000149217.7,Meis2
61996,ENSMUST00000149218.7,Fam3a
61997,ENSMUST00000149219.1,Strc
61998,ENSMUST00000149220.1,St6galnac6
61999,ENSMUST00000149221.1,Rusc2
62000,ENSMUST00000149222.1,Srd5a3
62001,ENSMUST00000149223.7,Rbm46os
62002,ENSMUST00000149224.2,D430040D24Rik
62003,ENSMUST00000149225.1,Dennd2d
62004,ENSMUST00000149226.1,Gm11697
62005,ENSMUST00000149227.1,Gtpbp6
62006,ENSMUST00000149228.7,Zfp287
62007,ENSMUST00000149229.1,Pdss1
62008,ENSMUST00000149230.1,Zfp286
62009,ENSMUST00000149231.1,Chn1os3
62010,ENSMUST00000149232.1,Nde1
62011,ENSMUST00000149233.7,Abca3
62012,ENSMUST00000149235.7,Phactr1
62013,ENSMUST00000149236.7,Vwa5b2
62014,ENSMUST00000149237.1,Gldnos
62015,ENSMUST00000149238.1,Srebf1
62016,ENSMUST00000149239.1,4930412B13Rik
62017,ENSMUST00000149240.1,Yme1l1
62018,ENSMUST00000149241.7,Mcam
62019,ENSMUST00000149242.7,Dos
62020,ENSMUST00000149243.7,Mrpl3
62021,ENSMUST00000149244.7,Lrmp
62022,ENSMUST00000149245.1,Pdzk1ip1
62023,ENSMUST00000149246.7,2410018L13Rik
62024,ENSMUST00000149247.1,Gm13075
62025,ENSMUST00000149248.8,Spg7
62026,ENSMUST00000149249.1,Mbtps2
62027,ENSMUST00000149250.1,Cutal
62028,ENSMUST00000149252.1,Gm15327
62029,ENSMUST00000149253.1,Pik3ip1
62030,ENSMUST00000149254.8,Ap4e1
62031,ENSMUST00000149255.1,Kptn
62032,ENSMUST00000149256.1,Mks1
62033,ENSMUST00000149257.1,Wdr13
62034,ENSMUST00000149258.1,Mid1
62035,ENSMUST00000149259.7,Mier1
62036,ENSMUST00000149260.7,Htr2c
62037,ENSMUST00000149261.7,Prdx5
62038,ENSMUST00000149262.7,Ssx2ip
62039,ENSMUST00000149263.1,Gm6265
62040,ENSMUST00000149266.7,Crem
62041,ENSMUST00000149267.7,2700029M09Rik
62042,ENSMUST00000149268.7,Ninl
62043,ENSMUST00000149269.1,Rin2
62044,ENSMUST00000149270.3,Tia1
62045,ENSMUST00000149271.2,Pfkl
62046,ENSMUST00000149272.1,Pde4c
62047,ENSMUST00000149273.7,Mtss1l
62048,ENSMUST00000149274.8,Taf1
62049,ENSMUST00000149275.2,Gm14230
62050,ENSMUST00000149276.1,Bbs5
62051,ENSMUST00000149277.7,Atat1
62052,ENSMUST00000149279.1,Cep95
62053,ENSMUST00000149280.7,Lphn3
62054,ENSMUST00000149281.1,Wdr31
62055,ENSMUST00000149282.7,Bai2
62056,ENSMUST00000149283.1,Gm13625
62057,ENSMUST00000149284.1,Polr1e
62058,ENSMUST00000149285.1,Gm11455
62059,ENSMUST00000149286.8,Ddhd1
62060,ENSMUST00000149287.7,Dbndd2
62061,ENSMUST00000149288.1,Hdgfrp3
62062,ENSMUST00000149289.1,Nsmce1
62063,ENSMUST00000149290.2,Qdpr
62064,ENSMUST00000149291.1,Slc12a8
62065,ENSMUST00000149292.7,Actl6b
62066,ENSMUST00000149293.1,Azin1
62067,ENSMUST00000149294.7,Pax8
62068,ENSMUST00000149295.1,Kdm4c
62069,ENSMUST00000149296.7,Rnf181
62070,ENSMUST00000149297.1,Jak1
62071,ENSMUST00000149298.1,Aldh3a2
62072,ENSMUST00000149299.1,Ror2
62073,ENSMUST00000149300.7,Gm16534
62074,ENSMUST00000149301.7,AI314180
62075,ENSMUST00000149302.1,Zfp260
62076,ENSMUST00000149303.7,Snhg11
62077,ENSMUST00000149304.1,Adck2
62078,ENSMUST00000149305.7,AA415398
62079,ENSMUST00000149306.1,Dpp4
62080,ENSMUST00000149308.3,2900079G21Rik
62081,ENSMUST00000149310.7,Idh1
62082,ENSMUST00000149311.7,Camk2d
62083,ENSMUST00000149312.1,Fam50a
62084,ENSMUST00000149313.7,Samhd1
62085,ENSMUST00000149314.1,Kras
62086,ENSMUST00000149315.1,Rab9
62087,ENSMUST00000149316.7,Snapc4
62088,ENSMUST00000149317.1,Ctnnd1
62089,ENSMUST00000149318.1,Zfp217
62090,ENSMUST00000149319.1,Tmem74bos
62091,ENSMUST00000149320.8,Stau2
62092,ENSMUST00000149321.1,Dcbld2
62093,ENSMUST00000149322.7,Pccb
62094,ENSMUST00000149323.7,Mtmr1
62095,ENSMUST00000149324.1,Gpx3
62096,ENSMUST00000149326.1,Tbl3
62097,ENSMUST00000149327.2,Fbxl20
62098,ENSMUST00000149328.7,Eif4a2
62099,ENSMUST00000149329.1,Ccng2
62100,ENSMUST00000149330.7,Alg13
62101,ENSMUST00000149331.1,Fndc3c1
62102,ENSMUST00000149332.7,Uckl1
62103,ENSMUST00000149333.7,Pigo
62104,ENSMUST00000149334.1,Diablo
62105,ENSMUST00000149335.1,Cd300lf
62106,ENSMUST00000149336.7,Mtus2
62107,ENSMUST00000149337.1,Dnajc11
62108,ENSMUST00000149339.1,Rpl7a
62109,ENSMUST00000149340.1,Nfxl1
62110,ENSMUST00000149341.7,Josd2
62111,ENSMUST00000149342.7,Daw1
62112,ENSMUST00000149343.1,9430041J12Rik
62113,ENSMUST00000149344.7,Huwe1
62114,ENSMUST00000149345.7,Sgsm3
62115,ENSMUST00000149346.1,Cops7a
62116,ENSMUST00000149347.7,BC048609
62117,ENSMUST00000149348.1,Gm12709
62118,ENSMUST00000149349.1,Lipe
62119,ENSMUST00000149350.7,Depdc5
62120,ENSMUST00000149351.1,BC017643
62121,ENSMUST00000149352.1,Mpz
62122,ENSMUST00000149353.1,Mmp16
62123,ENSMUST00000149354.1,Rsrp1
62124,ENSMUST00000149355.1,Faim3
62125,ENSMUST00000149356.1,Kat7
62126,ENSMUST00000149357.7,Mllt3
62127,ENSMUST00000149358.1,Ndfip2
62128,ENSMUST00000149359.1,Mkl2
62129,ENSMUST00000149360.1,Spsb1
62130,ENSMUST00000149361.1,Agbl2
62131,ENSMUST00000149362.7,Sfxn5
62132,ENSMUST00000149363.7,Fcho1
62133,ENSMUST00000149364.1,4930563I02Rik
62134,ENSMUST00000149365.1,Rpa1
62135,ENSMUST00000149366.1,Ndc1
62136,ENSMUST00000149367.1,Gm12694
62137,ENSMUST00000149368.1,Cd97
62138,ENSMUST00000149369.7,Zmynd8
62139,ENSMUST00000149370.1,Svs5
62140,ENSMUST00000149371.1,Xpo1
62141,ENSMUST00000149372.1,Rapgef6
62142,ENSMUST00000149373.1,Rapgef3os1
62143,ENSMUST00000149374.7,Gm15471
62144,ENSMUST00000149375.7,Gpr19
62145,ENSMUST00000149376.1,Vwa5a
62146,ENSMUST00000149377.1,Gm14618
62147,ENSMUST00000149378.1,Gm13398
62148,ENSMUST00000149379.7,Urm1
62149,ENSMUST00000149380.7,Optc
62150,ENSMUST00000149381.1,Ergic3
62151,ENSMUST00000149382.1,4933406K04Rik
62152,ENSMUST00000149383.7,Mapkap1
62153,ENSMUST00000149384.7,Hnrnpdl
62154,ENSMUST00000149385.7,Abca2
62155,ENSMUST00000149386.7,Gm16096
62156,ENSMUST00000149387.7,4930570G19Rik
62157,ENSMUST00000149388.1,Kptn
62158,ENSMUST00000149389.7,Aspscr1
62159,ENSMUST00000149390.1,Tm9sf4
62160,ENSMUST00000149391.7,Gdi1
62161,ENSMUST00000149392.1,Rps6kb1
62162,ENSMUST00000149393.1,Nfxl1
62163,ENSMUST00000149394.1,Dot1l
62164,ENSMUST00000149395.7,Lair1
62165,ENSMUST00000149396.1,Dnajb6
62166,ENSMUST00000149397.7,D2hgdh
62167,ENSMUST00000149398.1,Gm13335
62168,ENSMUST00000149399.7,Tex15
62169,ENSMUST00000149400.1,Lin37
62170,ENSMUST00000149401.1,Spc25
62171,ENSMUST00000149402.1,Slu7
62172,ENSMUST00000149403.7,Acsl6
62173,ENSMUST00000149404.1,Nr1i3
62174,ENSMUST00000149405.3,BC004004
62175,ENSMUST00000149406.1,Mgat1
62176,ENSMUST00000149407.7,Rhpn1
62177,ENSMUST00000149408.1,Nacc2
62178,ENSMUST00000149409.7,Copg1
62179,ENSMUST00000149410.1,Clip1
62180,ENSMUST00000149411.7,Mlx
62181,ENSMUST00000149412.1,Steap2
62182,ENSMUST00000149413.1,9530046B11Rik
62183,ENSMUST00000149414.1,Atp8a2
62184,ENSMUST00000149415.1,Rmnd5a
62185,ENSMUST00000149416.1,Zdhhc9
62186,ENSMUST00000149417.1,Helz2
62187,ENSMUST00000149418.1,Alkbh2
62188,ENSMUST00000149419.8,Rapgef3
62189,ENSMUST00000149420.7,Sri
62190,ENSMUST00000149421.7,Rapgef4
62191,ENSMUST00000149422.7,Crtc2
62192,ENSMUST00000149423.1,Myo3a
62193,ENSMUST00000149424.1,Tpk1
62194,ENSMUST00000149425.1,Ago1
62195,ENSMUST00000149426.1,Arhgap1
62196,ENSMUST00000149427.7,Alg13
62197,ENSMUST00000149428.1,C330019F10Rik
62198,ENSMUST00000149429.1,Gm13411
62199,ENSMUST00000149430.7,Slc39a13
62200,ENSMUST00000149431.1,Asb2
62201,ENSMUST00000149432.7,Tpm3
62202,ENSMUST00000149433.1,Dmd
62203,ENSMUST00000149436.7,Atg4b
62204,ENSMUST00000149437.7,Traf4
62205,ENSMUST00000149438.1,Gm14820
62206,ENSMUST00000149439.1,Wdr72
62207,ENSMUST00000149440.7,Pde10a
62208,ENSMUST00000149441.7,Mpnd
62209,ENSMUST00000149442.1,Ggta1
62210,ENSMUST00000149443.1,Hormad2
62211,ENSMUST00000149444.7,Polg
62212,ENSMUST00000149445.1,3110007F17Rik
62213,ENSMUST00000149446.2,Tcf7l1
62214,ENSMUST00000149447.1,L3mbtl1
62215,ENSMUST00000149448.7,Wdr91
62216,ENSMUST00000149449.7,Nudt6
62217,ENSMUST00000149450.1,Cbr2
62218,ENSMUST00000149451.7,Sox5
62219,ENSMUST00000149452.1,Gm16279
62220,ENSMUST00000149453.7,Cyb5rl
62221,ENSMUST00000149454.1,Stau1
62222,ENSMUST00000149455.1,Pde3b
62223,ENSMUST00000149456.7,St3gal6
62224,ENSMUST00000149457.1,9230104L09Rik
62225,ENSMUST00000149458.1,Cpsf3l
62226,ENSMUST00000149459.7,Tlk2
62227,ENSMUST00000149460.7,Egfl7
62228,ENSMUST00000149461.2,Naa20
62229,ENSMUST00000149462.1,Nop16
62230,ENSMUST00000149463.2,C230038L03Rik
62231,ENSMUST00000149464.7,Man1b1
62232,ENSMUST00000149465.1,Tbc1d10a
62233,ENSMUST00000149467.1,Stc2
62234,ENSMUST00000149468.7,2610002J02Rik
62235,ENSMUST00000149469.2,Spata3
