,TXNAME,GENENAME
250,ENSMUST00000001626.9,Tnk1
251,ENSMUST00000001631.6,Acap1
252,ENSMUST00000001652.6,Bdkrb2
253,ENSMUST00000001667.12,Csn3
254,ENSMUST00000001672.11,Ifrd1
255,ENSMUST00000001675.13,Stk38l
256,ENSMUST00000001699.7,Hoxc10
257,ENSMUST00000001700.6,Hoxc13
258,ENSMUST00000001701.3,Hoxc11
259,ENSMUST00000001703.7,Hoxc8
260,ENSMUST00000001706.6,Hoxc9
261,ENSMUST00000001709.2,Hoxc5
262,ENSMUST00000001711.5,Hoxc6
263,ENSMUST00000001712.7,Cabin1
264,ENSMUST00000001713.9,Gstt1
265,ENSMUST00000001715.9,Gstt3
266,ENSMUST00000001716.7,Ddt
267,ENSMUST00000001720.13,Tat
268,ENSMUST00000001722.13,Marveld3
269,ENSMUST00000001724.11,Ddx18
270,ENSMUST00000001757.8,Eef1e1
271,ENSMUST00000001780.9,Akt1
272,ENSMUST00000001790.5,Cldn15
273,ENSMUST00000001792.11,Il16
274,ENSMUST00000001801.10,Tcirg1
275,ENSMUST00000001802.9,Naglu
276,ENSMUST00000001806.9,Coasy
277,ENSMUST00000001809.14,Pabpc1
278,ENSMUST00000001812.4,Smo
279,ENSMUST00000001818.4,Crnkl1
280,ENSMUST00000001824.6,Folh1
281,ENSMUST00000001825.8,Chordc1
282,ENSMUST00000001826.14,Naalad2
283,ENSMUST00000001834.3,Rtcb
284,ENSMUST00000001836.10,Pwp1
285,ENSMUST00000001837.13,Fbxo7
286,ENSMUST00000001845.12,Capns1
287,ENSMUST00000001854.11,Slc7a10
288,ENSMUST00000001867.12,Evx2
289,ENSMUST00000001872.4,Hoxd13
290,ENSMUST00000001878.5,Hoxd12
291,ENSMUST00000001884.13,Clpb
292,ENSMUST00000001900.8,Zdhhc4
293,ENSMUST00000001920.12,Aif1l
294,ENSMUST00000001921.2,Cpa3
295,ENSMUST00000001927.11,Ltbp1
296,ENSMUST00000001950.11,Tollip
297,ENSMUST00000001963.13,Ace
298,ENSMUST00000001964.7,Ace
299,ENSMUST00000001965.13,Kcnh6
300,ENSMUST00000001974.10,Trmt1
301,ENSMUST00000001975.5,Nacc1
302,ENSMUST00000001984.4,Ceacam9
303,ENSMUST00000001989.8,Uba1
304,ENSMUST00000002007.4,Siae
305,ENSMUST00000002008.6,Vsig2
306,ENSMUST00000002011.13,Esam
307,ENSMUST00000002013.10,Spa17
308,ENSMUST00000002025.4,Tktl2
309,ENSMUST00000002029.12,Emd
310,ENSMUST00000002043.9,Ccdc47
311,ENSMUST00000002044.9,Map3k3
312,ENSMUST00000002048.7,Taco1
313,ENSMUST00000002053.8,Npas1
314,ENSMUST00000002063.14,Ap4e1
315,ENSMUST00000002064.14,Blvra
316,ENSMUST00000002073.12,Ltbp2
317,ENSMUST00000002079.6,Plxnb3
318,ENSMUST00000002080.11,Pdzd4
319,ENSMUST00000002081.5,Srpk3
320,ENSMUST00000002084.13,Abcd1
321,ENSMUST00000002087.13,Pnck
322,ENSMUST00000002090.2,Ssr4
